#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
2142,08-04CS508BP,PCB MAIN BOARD CS508BP/LED 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,750.0000","NTD 1,750.0000"
2143,08-04D30BT10,PCB MAIN BOARD DS3018xs BP test fixture 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 200.0000,
2144,08-04DDA4110,PCB MAIN BOARD DDA41L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2145,08-04DDA4111,PCB MAIN BOARD DDA41L1 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2146,08-04DDD4110,PCB MAIN BOARD DDD41L1 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,970.0000",
2147,08-04DDD4111,PCB MAIN BOARD DS414J(DDD41L1) 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 160.0000,NTD 160.0000
2148,08-04DDM1110,PCB MAIN BOARD DDM11L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,500.0000",
2149,08-04DDM1111,PCB MAIN BOARD DDM11L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 666.6667,
2150,08-04DDM1112,PCB MAIN BOARD DS114(DDM11L1) 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 76.0000,NTD 76.0000
2151,08-04DDM2110,PCB MAIN BOARD DDM21L1 4LAYER V1.0 PB_FREE,KINTECH,"NTD 4,925.0000",NTD 122.0000
2152,08-04DDM2111,PCB MAIN BOARD DDM21L1 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2153,08-04DDM2112,PCB MAIN BOARD DDM21L1 4LAYER V1.2 PB_FREE,CIRCUITECH,,
2154,08-04DDM2113,PCB MAIN BOARD DDM21L1 4LAYER V1.3 PB_FREE,KINTECH,"NTD 1,313.3333",NTD 132.0000
2155,08-04DDM2114,PCB MAIN BOARD DDM21L1 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 42.3547,NTD 74.0000
2156,08-04DDM2115,PCB MAIN BOARD DDM21L1 4LAYER V1.5 PB_FREE,CIRCUITECH,NTD 74.0000,NTD 74.0000
2157,08-04DDM2210,PCB MAIN BOARD DDM22L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2158,08-04DDM2310,PCB MAIN BOARD DDM23L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 3,940.0000",
2159,08-04DDM2311,PCB MAIN BOARD DDM23L1 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2160,08-04DDM2312,PCB MAIN BOARD DDM23L1 4LAYER V1.2 PB_FREE,KINTECH,"NTD 2,626.6667",NTD 238.0000
2161,08-04DDM2313,PCB MAIN BOARD DDM23L1 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 221.6250,NTD 153.0000
2162,08-04DDM2314,PCB MAIN BOARD DDM23L1 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 153.0000,NTD 153.0000
2163,08-04DDM2411,PCB MAIN BOARD DDM24L2 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2164,08-04DDM2412,PCB MAIN BOARD DS214+(DDM24L2) 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2165,08-04DDM2510,PCB MAIN BOARD DDM25L1 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,970.0000",NTD 86.0000
2166,08-04DDM2511,PCB MAIN BOARD DS214se(DDM25L1) 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 74.0000,NTD 74.0000
2167,08-04DDUP110,PCB MAIN BOARD Diagnostic tool 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,313.3333",
2168,08-04DDUP111,PCB MAIN BOARD Diagnostic tool 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 333.3333,
2169,08-04DM2BP10,PCB MAIN BOARD DS_M2_BP board 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2170,08-04DM2BPC1,PCB BP M2 DS420+/DS920+ 4LAYERS V1.1,CIRCUITECH,NTD 33.0000,NTD 33.0000
2171,08-04DPTBP10,PCB DELTA POWER TEST BOARD 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2172,08-04DRM2110,PCB MAIN BOARD DRM21L2 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 3,940.0000",
2173,08-04DRM2111,PCB MAIN BOARD DRM21L2 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2174,08-04DRM2112,PCB MAIN BOARD DRM21L2 4LAYER V1.2 PB_FREE,KINTECH,NTD 985.0000,
2175,08-04DRM2113,PCB MAIN BOARD RS214(DRM21L2) 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2176,08-04DRM2114,PCB MAIN BOARD RS214(DRM21L2) 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2177,08-04DRM4110,PCB MAIN BOARD DRM41L2 4LAYER V1.0 PB_FREE,KINTECH,,
2178,08-04DRM4111,PCB MAIN BOARD DRM41L2 4LAYER V1.1 PB_FREE,KINTECH,"NTD 2,500.0000",NTD 276.0000
2179,08-04DRM4210,PCB MAIN BOARD DRM42L2 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,970.0000",
2180,08-04DRM4211,PCB MAIN BOARD DRM42L2 4LAYER V1.1 PB_FREE,KINTECH,NTD 656.6667,
2181,08-04DRM4212,PCB MAIN BOARD DRM42L2 4LAYER V1.2 PB_FREE,KINTECH,,
2182,08-04DRM4213,PCB MAIN BOARD RS814(DRM42L2) 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 156.0000,NTD 156.0000
2183,08-04DS10102,PCB MAIN BOARD DS-101 4LAYER V2.2,TEAN,NTD 80.8700,NTD 80.8700
2184,08-04DS10631,PCB MAIN BOARD DS-106 4LAYER V3.1 PB_FREE,TEAN,NTD 129.0000,NTD 129.0000
2185,08-04DS11J20,PCB MAIN BOARD DS-101j 4LAYER V2.0 PB_FREE,TEAN,NTD 128.9800,NTD 128.9800
2186,08-04DS16E21,PCB MAIN BOARD DS-106e 4LAYER V2.1 PB_FREE,TEAN,NTD 193.9400,NTD 193.9400
2187,08-04DS16E31,PCB MAIN BOARD DS-106e 4LAYER V3.1 PB_FREE,TEAN,,
2188,08-04DS16J10,PCB MAIN BOARD DS-106j 4LAYER V1.0 PB_FREE,TEAN,NTD 129.0000,NTD 129.0000
2189,08-04DS16J12,PCB MAIN BOARD DS-106j 4LAYER V1.2 PB_FREE,TEAN,NTD 148.0000,NTD 148.0000
2190,08-04DS17X10,PCB MAIN BOARD DS-107X 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2191,08-04DS17X11,PCB MAIN BOARD DS107+ 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2192,08-04DS17X12,PCB MAIN BOARD DS107+ 4LAYER V1.2 PB_FREE,CIRCUITECH,"NTD 1,000.0000","NTD 1,000.0000"
2193,08-04DS17X13,PCB MAIN BOARD DS107+ 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 152.0000,NTD 152.0000
2194,08-04DS18E10,PCB MAIN BOARD DS108e 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000","NTD 2,000.0000"
2195,08-04DS18E11,PCB MAIN BOARD DS108e 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 2,000.0000","NTD 2,000.0000"
2196,08-04DS19J10,PCB MAIN BOARD DS109j 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 3,333.5000","NTD 3,333.5000"
2197,08-04DS1GV11,PCB MAIN BOARD DS-101gv 4LAYER V1.1 PB_FREE,TEAN,NTD 129.0000,NTD 129.0000
2198,08-04DS1GV12,PCB MAIN BOARD DS-101gv 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2199,08-04DS20810,PCB MAIN BOARD DS208 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 20,000.0000","NTD 20,000.0000"
2200,08-04DS27X10,PCB MAIN BOARD DS207+ 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000","NTD 2,000.0000"
2201,08-04DS27X11,PCB MAIN BOARD DS207+ 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2202,08-04DS27X12,PCB MAIN BOARD DS207+ 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2203,08-04DS27X13,PCB MAIN BOARD DS207+ 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 153.0000,NTD 153.0000
2204,08-04DS28X10,PCB MAIN BOARD DS208 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 800.0000,NTD 800.0000
2205,08-04DS46E11,PCB MAIN BOARD DS-406e 4LAYER V1.1 PB_FREE,TEAN,NTD 129.0000,NTD 129.0000
2206,08-04DS46E12,PCB MAIN BOARD DS-406e 4LAYER V1.2 PB_FREE,TEAN,NTD 145.0000,NTD 145.0000
2207,08-04DSA0714,PCB MAIN BOARD DSX07 DOUBLE RAM SERIES GREEN 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2208,08-04DSA7X13,PCB MAIN BOARD DS107+ DOUBLE RAM SERIES GREEN 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 152.0000,NTD 152.0000
2209,08-04DSX0713,PCB MAIN BOARD DSX07 SERIES 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2210,08-04DSX0714,PCB MAIN BOARD DSX07 SERIES 4LAYER V1.4 PB_FREE,CIRCUITECH,NTD 148.0000,NTD 148.0000
2211,08-04DVAHL10,PCB LED DS1419DVA_HDDLED 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2212,08-04DVAHL11,PCB LED DS1419DVA_HDDLED 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 7.5000,NTD 7.5000
2213,08-04DVAPL10,PCB LED DS1419DVA_PWRLED 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 13.0000,NTD 13.0000
2214,08-04DVPWR10,PCB PWR BOARD Doveplug 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 73.0000,NTD 73.0000
2215,08-04DX21210,PCB MAIN BOARD DX212 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2216,08-04DX21211,PCB MAIN BOARD DX212 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2217,08-04DX21310,PCB MAIN BOARD DX213 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2218,08-04DX21311,PCB MAIN BOARD DX213 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 74.0000,NTD 74.0000
2219,08-04DX50011,PCB MAIN BOARD DX5 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 115.0000,NTD 115.0000
2220,08-04DX51010,PCB MAIN BOARD DX510 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 3,333.5000",
2221,08-04DX51011,PCB MAIN BOARD DX5R1 4LAYER V1.1 PB_FREE,KINTECH,"NTD 1,333.5333",
2222,08-04DX51012,PCB MAIN BOARD DX5R1 4LAYER V1.2 PB_FREE,KINTECH,NTD 107.0000,
2223,08-04DX51013,PCB MAIN BOARD DX5R1 4LAYER V1.3 PB_FREE,KINTECH,NTD 107.0000,NTD 107.0000
2224,08-04DX51014,PCB MAIN BOARD DX5R1 4LAYER V1.4 PB_FREE,KINTECH,NTD 656.6667,
2225,08-04DX51015,PCB MAIN BOARD DX513V3 4LAYER V1.5 PB_FREE,KINTECH,NTD 656.6667,
2226,08-04DX51016,PCB MAIN BOARD DX513V3 4LAYER V1.6 PB_FREE,KINTECH,NTD 105.3967,NTD 107.0000
2227,08-04DX51210,PCB MAIN BOARD DX510R2 4LAYER V1.0 PB_FREE,KINTECH,"NTD 2,000.0000",NTD 95.0000
2228,08-04DX51211,PCB MAIN BOARD DX512 4LAYER V1.1 PB_FREE,KINTECH,NTD 666.6667,
2229,08-04DX51310,PCB MAIN BOARD DX513 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2230,08-04DX51311,PCB MAIN BOARD DX513 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 66.0000,NTD 66.0000
2231,08-04DX51312,PCB MAIN BOARD DX513 4LAYER V1.2 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2232,08-04DX51313,PCB MAIN BOARD DX513 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 66.0000,NTD 66.0000
2233,08-04DX5BP12,PCB BP 510BP 4LAYER V1.2 PB_FREE,KINTECH,NTD 480.4000,NTD 134.0000
2234,08-04DX5BP13,PCB BP 510BP 4LAYER V1.3 PB_FREE,KINTECH,"NTD 2,000.0000",
2235,08-04DX5BP14,*PCB BP 510BP 4LAYER V1.4 PB_FREE,KINTECH,NTD 131.9900,NTD 134.0000
2236,08-04DX5BP15,PCB BP 510BP 4LAYER V1.5 PB_FREE,KINTECH,"NTD 1,000.0000",
2237,08-04DX5BP16,PCB BP 510BP 4LAYER V1.6 PB_FREE,KINTECH,"NTD 2,000.0000",
2238,08-04DX5BP17,*PCB BP 510BP 4LAYER V1.7 PB_FREE,KINTECH,NTD 121.6480,NTD 123.5000
2239,08-04DX5BP18,PCB BP 510BP 4LAYER V1.8 PB_FREE,CIRCUITECH,NTD 105.0000,NTD 105.0000
2240,08-04DXC1410,PCB MAIN BOARD DXC14L0 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,313.3333",
2241,08-04DXC1411,PCB MAIN BOARD DXC14L0 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 666.6667,
2242,08-04DXC1412,PCB MAIN BOARD DXC14L0 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 180.0000,NTD 180.0000
2243,08-04DXCBX10,PCB DXC PANEL BOARD 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,500.0000",
2244,08-04DXCBX11,PCB DXC PANEL BOARD 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2245,08-04DXCBX12,PCB DX1211 BOARD 4LAYER V1.2 PB_FREE,CIRCUITECH,,
2246,08-04DXCBX13,PCB MAIN BOARD DX1211(DXC_BOX) 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 205.0000,NTD 205.0000
2247,08-04DXCBX14,PCB MAIN BOARD DX1211(DXC_BOX) 4LAYER V1.4 PB_FREE,CIRCUITECH,"NTD 2,000.0000",NTD 207.0000
2248,08-04E10G1H1,PCB CARD 10G E10G21-T1 4LAYERS V1.0,"HannStar Board Co., Ltd",NTD 500.0000,
2249,08-04EDA2110,PCB MAIN BOARD EDA21L2 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2250,08-04EDA2111,PCB MAIN BOARD EDA21L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 155.0000,NTD 155.0000
2251,08-04EDA2112,PCB MAIN BOARD EDA21L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 155.0000,NTD 155.0000
2252,08-04EDM1110,PCB MAIN BOARD EDM11L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2253,08-04EDM1111,PCB MAIN BOARD EDM11L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 67.0000,NTD 67.0000
2254,08-04EDM1210,PCB MAIN BOARD EDM12L1 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 666.6667,
2255,08-04EDM1211,PCB MAIN BOARD EDM12L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 72.0000,NTD 72.0000
2256,08-04EDM2110,PCB MAIN BOARD EDM21L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2257,08-04EDM2111,PCB MAIN BOARD EDM21L1 4LAYER V1.1 PB_FREE,KINTECH,"NTD 1,970.0000",
2258,08-04EDM2112,PCB MAIN BOARD EDM21L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 68.0000,NTD 68.0000
2259,08-04EDM4110,PCB MAIN BOARD EDM41L2 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2260,08-04EDM4111,PCB MAIN BOARD EDM41L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 985.0000,
2261,08-04EDM4112,PCB MAIN BOARD EDM41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 160.0000,NTD 160.0000
2262,08-04EDPOE10,PCB MAIN BOARD POE_Module 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2263,08-04EDPOE11,PCB MAIN BOARD POE_Module 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2264,08-04EDPOE12,PCB MAIN BOARD POE_Module 4LAYER V1.2 PB_FREE,CIRCUITECH,,
2265,08-04EDSC010,PCB MAIN BOARD SC_Module 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2266,08-04EDSC011,PCB MAIN BOARD SC_Module 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2267,08-04EDSC012,PCB MAIN BOARD SC_Module 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 666.6667,
2268,08-04EDSC013,PCB MAIN BOARD SC_Module 4LAYER V1.3 PB_FREE,CIRCUITECH,,
2269,08-04ERM4110,PCB MAIN BOARD ERM41L2 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2270,08-04ERM4111,PCB MAIN BOARD ERM41L2 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2271,08-04ERM4112,PCB MAIN BOARD ERM41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 176.0000,NTD 176.0000
2272,08-04ERM4113,PCB MAIN BOARD ERM41L2 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 194.0000,NTD 194.0000
2273,08-04ERX4010,PCB MAIN BOARD RX414 (ERX4) 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,250.0000",
2274,08-04ERX4011,PCB MAIN BOARD RX415(ERX4) 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 333.3333,
2275,08-04ERX4012,PCB MAIN BOARD RX415(ERX4) 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 142.0000,NTD 142.0000
2276,08-04ERX4013,PCB MAIN BOARD RX415(ERX4) 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 142.0000,NTD 142.0000
2277,08-04ERX4014,PCB MAIN BOARD RX415(ERX4) 4LAYER V1.4 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2278,08-04ERX4015,PCB MAIN BOARD RX415(ERX4) 4LAYER V1.5 PB_FREE,CIRCUITECH,NTD 142.0000,NTD 142.0000
2279,08-04ERX4L10,PCB LED BOARD ERX4-LED 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,250.0000",
2280,08-04ERX4L11,*PCB LED BOARD ERX4-LED 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 333.3333,
2281,08-04ERX4L12,PCB LED BOARD ERX4-LED 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 30.0000,NTD 30.0000
2282,08-04ERX4L13,PCB LED BOARD ERX4-LED 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 30.0000,NTD 30.0000
2283,08-04ERX4L14,PCB LED BOARD ERX4-LED 4LAYER V1.4 PB_FREE,CIRCUITECH,,
2284,08-04ERX4L15,PCB LED BOARD ERX4-LED 4LAYER V1.5 PB_FREE,CIRCUITECH,NTD 30.0000,NTD 30.0000
2285,08-04ES50910,PCB MAIN BOARD EX5 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 2,000.0000","NTD 2,000.0000"
2286,08-04ETB0110,PCB MAIN BOARD ETB01L5 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,313.3333",
2287,08-04ETB0111,PCB MAIN BOARD ETB01L5 4LAYER V1.1 PB_FREE,KINTECH,NTD 656.6667,
2288,08-04ETB0112,PCB MAIN BOARD ETB01L5 4LAYER V1.2 PB_FREE,KINTECH,"NTD 1,193.9394",
2289,08-04ETB0113,PCB MAIN BOARD ETB01L5 4LAYER V1.3 PB_FREE,KINTECH,NTD 167.4500,NTD 170.0000
2290,08-04ETB0114,PCB MAIN BOARD ETB01L5 4LAYER V1.4 PB_FREE,KINTECH,NTD 133.3333,
2291,08-04ETB0115,PCB MAIN BOARD ETB01L5 4LAYER V1.5 PB_FREE,KINTECH,NTD 100.0000,
2292,08-04ETB0116,PCB MAIN BOARD ETB01L5 4LAYER V1.6 PB_FREE,CIRCUITECH,NTD 125.0000,NTD 125.0000
2293,08-04ETB0117,PCB MAIN BOARD ETB01L5 4LAYER V1.7 PB_FREE,CIRCUITECH,"NTD 1,000.0000",
2294,08-04ETB0118,PCB MAIN BOARD ETB01L5 4LAYER V1.8 PB_FREE,CIRCUITECH,NTD 124.0000,NTD 124.0000
2295,08-04EVH0110,PCB MAIN BOARD EVH01L1 4LAYER V1.0 PB_FREE,KINTECH,NTD 985.0000,
2296,08-04EVH0111,PCB MAIN BOARD EVH01L1 4LAYER V1.1 PB_FREE,KINTECH,NTD 656.6667,
2297,08-04EVH0112,*PCB MAIN BOARD EVH01L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 86.0000,NTD 86.0000
2298,08-04EVH0113,PCB MAIN BOARD EVH01L1 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 86.0000,NTD 86.0000
2299,08-04EXCBX10,PCB SATA EXPANSION BOARD EXC_BOX 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2300,08-04EXCBX11,PCB SATA EXPANSION BOARD EXC_BOX 4LAYER V1.1 PB_FREE,CIRCUITECH,,
2301,08-04FDA4110,PCB MAIN BOARD FDA41L2 4LAYER V1.0 PB_FREE,KINTECH,,
2302,08-04FDA4111,PCB MAIN BOARD FDA41L2 4LAYER V1.1 PB_FREE,KINTECH,NTD 666.6667,
2303,08-04FDA4112,PCB MAIN BOARD FDA41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 154.0000,NTD 154.0000
2304,08-04FDD4110,PCB MAIN BOARD FDD41L1 4LAYER V1.0 PB_FREE,KINTECH,,
2305,08-04FDD4111,PCB MAIN BOARD FDD41L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 666.6667,
2306,08-04FDD4112,PCB MAIN BOARD FDD41L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 160.0000,NTD 160.0000
2307,08-04FDH2110,PCB MAIN BOARD FDH21L1 4LAYER V1.0 PB_FREE,KINTECH,NTD 492.5000,
2308,08-04FDH2111,PCB MAIN BOARD FDH21L1 4LAYER V1.1 PB_FREE,KINTECH,NTD 114.2500,NTD 116.0000
2309,08-04FDH2112,PCB MAIN BOARD FDH21L1 4LAYER V1.2 PB_FREE,KINTECH,NTD 114.2600,NTD 116.0000
2310,08-04FDH2113,PCB MAIN BOARD FDH21L1 4LAYER V1.3 PB_FREE,KINTECH,NTD 114.2616,NTD 116.0000
2311,08-04FDM2110,PCB MAIN BOARD FDM21L1 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 100.0000,NTD 72.0000
2312,08-04FDM2111,PCB MAIN BOARD FDM21L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 67.0000,NTD 67.0000
2313,08-04FDM2210,PCB MAIN BOARD FDM22L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2314,08-04FDM2211,PCB MAIN BOARD FDM22L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 666.6667,
2315,08-04FDM2212,PCB MAIN BOARD FDM22L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 150.0000,NTD 150.0000
2316,08-04FDM2310,PCB MAIN BOARD FDM23L1 4LAYER V1.0 PB_FREE,CIRCUITECH,NTD 666.6667,
2317,08-04FDM2311,PCB MAIN BOARD FDM23L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 67.0000,NTD 67.0000
2318,08-04FDM4110,PCB MAIN BOARD FDM41L1 4LAYER V1.0 PB_FREE,CIRCUITECH,"NTD 1,333.3333",
2319,08-04FDM4111,PCB MAIN BOARD FDM41L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 333.3333,
2320,08-04FDM4112,PCB MAIN BOARD FDM41L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 151.0000,NTD 151.0000
2321,08-04FDM4210,PCB MAIN BOARD FDM42L2 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2322,08-04FDS2110,PCB MAIN BOARD FDS21L1 4LAYER V1.0 PB_FREE,KINTECH,"NTD 1,000.0000",
2323,08-04FDS2111,PCB MAIN BOARD Macaroon(FDS21L1) 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 400.0000,
2324,08-04FDS2112,PCB MAIN BOARD FDS21L1 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 100.0000,NTD 72.0000
2325,08-04FDS2113,PCB MAIN BOARD FDS21L1 4LAYER V1.3 PB_FREE,CIRCUITECH,NTD 70.0000,NTD 70.0000
2326,08-04FPM2210,PCB MAIN BOARD FPM22L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2327,08-04FPM2211,PCB MAIN BOARD FPM22L1 4LAYER V1.1 PB_FREE,CIRCUITECH,"NTD 2,000.0000",
2328,08-04FPM2212,PCB MAIN BOARD FPM22L1 4LAYER V1.2 PB_FREE,CIRCUITECH,"NTD 4,000.0000",
2329,08-04FRM4110,PCB MAIN BOARD FRM41L2 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2330,08-04FRM4111,*PCB MAIN BOARD FRM41L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 800.0000,
2331,08-04FRM4112,PCB MAIN BOARD FRM41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 194.0000,NTD 194.0000
2332,08-04FTB0110,PCB MAIN BOARD FTB01L5 4LAYER V1.0 PB_FREE,KINTECH,NTD 492.4000,
2333,08-04FTB0111,PCB MAIN BOARD FTB01L5 4LAYER V1.1 PB_FREE,KINTECH,NTD 492.5000,
2334,08-04FTB0112,PCB MAIN BOARD FTB01L5 4LAYER V1.2 PB_FREE,KINTECH,NTD 492.5000,
2335,08-04GDM1110,PCB MAIN BOARD GDM11L1 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2336,08-04GDM1111,PCB MAIN BOARD GDM11L1 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 67.0000,NTD 67.0000
2337,08-04GDR4110,PCB MAIN BOARD GDR41L2 4LAYER V1.0 PB_FREE,CIRCUITECH,,
2338,08-04GDR4111,PCB MAIN BOARD GDR41L2 4LAYER V1.1 PB_FREE,CIRCUITECH,NTD 800.0000,
2339,08-04GDR4112,PCB MAIN BOARD GDR41L2 4LAYER V1.2 PB_FREE,CIRCUITECH,NTD 120.8000,NTD 151.0000
2340,08-04GDR41C3,PCB MB DS420j(GDR41L1) 4LAYERS V1.3 (TG-150),CIRCUITECH,NTD 151.0000,NTD 151.0000
2341,08-04GDX5110,PCB MAIN BOARD GDX51L0 4LAYER V1.0 PB_FREE,KINTECH,NTD 162.5250,NTD 103.0000
2342,08-04GDX5111,PCB MAIN BOARD GDX51L0 4LAYER V1.1 PB_FREE,KINTECH,NTD 80.7700,NTD 82.0000
2343,08-04GRM2110,PCB MAIN BOARD GRM21L2 4LAYER V1.0 PB_FREE,CIRCUITECH,,
